name;description;promoter;rbs;cds;terminator;coldzonetemperature;coldzonetime;hotzonetemperature;hotzonetime
K2656100;;BBa_K2656004;BBa_K2656008;BBa_K2656013;BBa_K2656026;16;4;37;3
K2656101;;BBa_K2656004;BBa_K2656009;BBa_K2656013;BBa_K2656026;16;4;37;3
K2656102;;BBa_K2656004;BBa_K2656010;BBa_K2656013;BBa_K2656026;16;4;37;3
K2656103;;BBa_K2656004;BBa_K2656011;BBa_K2656013;BBa_K2656026;16;4;37;3
K2656104;;BBa_K2656004;BBa_K2656012;BBa_K2656013;BBa_K2656026;16;4;37;3
K2656105;;BBa_K2656004;BBa_K2656009;BBa_K2656022;BBa_K2656026;16;4;37;3
K2656106;;BBa_K2656005;BBa_K2656009;BBa_K2656022;BBa_K2656026;16;4;37;3
K2656107;;BBa_K2656007;BBa_K2656009;BBa_K2656022;BBa_K2656026;16;4;37;3
K2656108;;BBa_K2656004;BBa_K2656009;Bba_K2656023;BBa_K2656026;16;4;37;3
K2656109;;BBa_K2656004;BBa_K2656009;Bba_K2656014;BBa_K2656026;16;4;37;3
K2656110;;BBa_K2656004;BBa_K2656009;Bba_K2656024;BBa_K2656026;16;4;37;3
K2656111;;BBa_K2656004;BBa_K2656009;BBa_K2656020;BBa_K2656026;16;4;37;3
K2656112;;BBa_K2656004;BBa_K2656009;BBa_K2656021;BBa_K2656026;16;4;37;3